,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
427,4230132475,RD SHELL,JOHNSON 53-2-10 LOV,1H,2/5/2015,16555.0,26.0,6/27/2015,6/1/2015,403278.0,545697.0,312329.0,719.0,422.0,901.0,738.0,H,OIL,WOLFCAMP,PHANTOM,31.854588300000003,-103.53292900000001,4156.0
428,4230132484,"RKI EXPLORATION & PRODUCTION, LLC",CBR 4,0,3/22/2015,15890.0,29.0,4/24/2015,3/1/2015,450096.0,1181351.0,253204.0,1745.0,353.0,,11.0,H,OIL,WOLFCAMP,PHANTOM,31.999679399999998,-103.8578875,4771.0
429,4230130264,EOG RESOURCES INCORPORATED,BRUNSON 48,3,9/8/1980,18575.0,50.0,5/17/1981,6/1/2013,115311.0,140951.0,91819.0,64.0,32.0,,2705.0,H,OIL,WOLFCAMP,PHANTOM,31.904141100000004,-103.5003064,2640.0
430,4230132372,"RKI EXPLORATION & PRODUCTION, LLC",CBR 2,0,12/15/2014,15971.0,30.0,3/5/2015,12/1/2014,268196.0,750646.0,143088.0,480.0,83.0,,2.0,H,OIL,WOLFCAMP,PHANTOM,31.9856765,-103.8255942,4188.0
431,4230131997,APACHE CORPORATION,CHAPARRAL 89,0,8/8/2013,17020.0,44.0,12/19/2013,12/1/2013,1872235.0,3952304.0,1213518.0,1307.0,401.0,1646.0,2311.0,H,OIL,WOLFCAMP,PHANTOM,31.746558299999997,-103.65078829999999,5783.0
432,4230132248,MATADOR PRODUCTION COMPANY,JOHNSON 44-02S-B53 WF,0,8/17/2014,16420.0,35.0,9/25/2014,9/1/2014,1170160.0,2420646.0,766719.0,2471.0,847.0,11297.0,387.0,H,OIL,WOLFCAMP,PHANTOM,31.766357399999997,-103.56697290000001,5045.0
433,4230132132,"ROSEHILL OPERATING COMPANY, LLC",SID M. KYLE 26,0,3/19/2014,16566.0,35.0,8/6/2013,9/1/2014,329623.0,467595.0,251690.0,478.0,267.0,18669.0,11999.0,H,OIL,WOLFCAMP,GRICE,31.927798499999998,-103.6200785,4760.0
434,4230131918,"RKI EXPLORATION & PRODUCTION, LLC",ROBINSON 5,2H,1/28/2013,12017.0,50.0,4/7/2013,5/1/2013,280174.0,1495251.0,30965.0,526.0,7.0,158063.0,8738.0,H,GAS,BONE SPRING,SANDBAR,31.986925199999998,-103.8762366,3872.0
435,4230132003,"RKI EXPLORATION & PRODUCTION, LLC",CBR 4,1H,8/1/2013,12024.0,43.0,10/6/2013,10/1/2013,118912.0,568719.0,24126.0,243.0,8.0,43823.0,4464.0,H,GAS,BONE SPRING,SANDBAR,31.985844800000002,-103.8638002,3690.0
436,4230132023,"ANADARKO E&P ONSHORE, LLC",THRESHER 55-1-23,5HN,10/10/2013,13663.0,31.0,1/30/2015,1/1/2015,332123.0,1379991.0,102125.0,1069.0,42.0,,5.0,H,GAS,BONE SPRING,SANDBAR,31.9426983,-103.7292441,4018.0
437,4230132233,EOG RESOURCES INCORPORATED,KINGSTON 55-2-35 LOV,1H,11/4/2014,16077.0,26.0,5/2/2015,5/1/2015,160673.0,340363.0,103946.0,415.0,132.0,4885.0,2794.0,H,OIL,WOLFCAMP,PHANTOM,31.810152799999997,-103.735392,4124.0
438,4230132237,"ANADARKO E&P ONSHORE, LLC","HALEY, J. E. 28-33 UNIT C",0,11/16/2014,17265.0,11.0,1/17/2015,8/1/2016,107604.0,135237.0,85064.0,404.0,254.0,3373.0,1767.0,H,OIL,WOLFCAMP,PHANTOM,31.7747923,-103.3604491,4356.0
439,4230132428,"OCCIDENTAL ENERGY COMPANY,INC.",MOORE HOOPER A UNIT,3H,5/2/2015,16160.0,26.0,5/24/2015,6/1/2015,409098.0,786849.0,277956.0,556.0,179.0,14527.0,4083.0,H,OIL,WOLFCAMP,PHANTOM,31.703484600000003,-103.5807498,3180.0
440,4230131934,"RKI EXPLORATION & PRODUCTION, LLC",LINDSAY 16,1H,4/14/2013,13293.0,49.0,7/2/2013,7/1/2013,260928.0,1067610.0,82993.0,538.0,25.0,50813.0,7468.0,H,GAS,BONE SPRING,SANDBAR,31.9705,-103.7630084,4120.0
441,4230131735,"ANADARKO E&P ONSHORE, LLC",GALAPAGOS 53-2-45,1H,5/9/2012,15611.0,30.0,6/23/2012,2/1/2015,60767.0,206939.0,26277.0,203.0,26.0,8385.0,1484.0,H,GAS,WOLFCAMP,PHANTOM,31.7672166,-103.5503195,3811.0
442,4230132218,"ANADARKO E&P ONSHORE, LLC","HALEY, J.E. 28-33 UNIT A",3H,8/6/2014,17120.0,17.0,11/16/2015,11/1/2015,155365.0,169331.0,127143.0,281.0,208.0,,2060.0,H,OIL,WOLFCAMP,PHANTOM,31.7767978,-103.3484265,4315.0
